simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,1.323820e+03,2.899586e+02,1.233742e+00,7.662577e-01,9.075718e+02,7.612337e+02,1.463381e+02,6.202025e+02,5.184310e+02,1.017715e+02,2.433444e+02,2.038390e+02,3.950537e+01,1.998382e+02,1.674431e+02,3.239511e+01,1.259868e+02,1.052954e+02,2.069141e+01,6.096117e+01,5.106374e+01,9.897426e+00
2,0,0,1.322485e+03,2.897139e+02,1.233742e+00,7.662577e-01,9.419863e+02,8.002741e+02,1.417121e+02,7.603439e+02,6.444216e+02,1.159223e+02,1.893820e+02,1.591198e+02,3.026225e+01,2.067616e+02,1.752652e+02,3.149643e+01,1.568094e+02,1.327924e+02,2.401698e+01,4.720865e+01,3.965702e+01,7.551632e+00
3,0,0,1.322061e+03,2.896346e+02,1.233742e+00,7.662577e-01,9.549235e+02,8.156239e+02,1.392996e+02,8.357442e+02,7.119289e+02,1.238152e+02,1.560228e+02,1.313600e+02,2.466281e+01,2.094179e+02,1.784031e+02,3.101476e+01,1.735624e+02,1.476892e+02,2.587329e+01,3.876386e+01,3.262549e+01,6.138370e+00
4,0,0,1.321899e+03,2.896041e+02,1.233742e+00,7.662577e-01,9.613692e+02,8.234196e+02,1.379495e+02,8.848255e+02,7.556224e+02,1.292031e+02,1.331092e+02,1.122407e+02,2.086854e+01,2.107614e+02,1.800212e+02,3.074019e+01,1.844685e+02,1.573411e+02,2.712744e+01,3.299157e+01,2.780714e+01,5.184430e+00
5,0,0,1.323820e+03,2.899586e+02,1.233742e+00,7.662577e-01,9.075718e+02,7.612337e+02,1.463381e+02,6.202025e+02,5.184310e+02,1.017715e+02,2.433444e+02,2.038390e+02,3.950537e+01,1.998382e+02,1.674431e+02,3.239511e+01,1.259868e+02,1.052954e+02,2.069141e+01,6.096117e+01,5.106374e+01,9.897426e+00
6,0,0,1.322485e+03,2.897139e+02,1.233742e+00,7.662577e-01,9.419863e+02,8.002741e+02,1.417121e+02,7.603439e+02,6.444216e+02,1.159223e+02,1.893820e+02,1.591198e+02,3.026225e+01,2.067616e+02,1.752652e+02,3.149643e+01,1.568094e+02,1.327924e+02,2.401698e+01,4.720865e+01,3.965702e+01,7.551632e+00
7,0,0,1.322061e+03,2.896346e+02,1.233742e+00,7.662577e-01,9.549235e+02,8.156239e+02,1.392996e+02,8.357442e+02,7.119289e+02,1.238152e+02,1.560228e+02,1.313600e+02,2.466281e+01,2.094179e+02,1.784031e+02,3.101476e+01,1.735624e+02,1.476892e+02,2.587329e+01,3.876386e+01,3.262549e+01,6.138370e+00
8,0,0,1.321899e+03,2.896041e+02,1.233742e+00,7.662577e-01,9.613692e+02,8.234196e+02,1.379495e+02,8.848255e+02,7.556224e+02,1.292031e+02,1.331092e+02,1.122407e+02,2.086854e+01,2.107614e+02,1.800212e+02,3.074019e+01,1.844685e+02,1.573411e+02,2.712744e+01,3.299157e+01,2.780714e+01,5.184430e+00
9,0,0,1.323820e+03,2.899586e+02,1.233742e+00,7.662577e-01,9.075718e+02,7.612337e+02,1.463381e+02,6.202025e+02,5.184310e+02,1.017715e+02,2.433444e+02,2.038390e+02,3.950537e+01,1.998382e+02,1.674431e+02,3.239511e+01,1.259868e+02,1.052954e+02,2.069141e+01,6.096117e+01,5.106374e+01,9.897426e+00
