F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
NaN,NaN,1.314575e+00,741,3.079047e-01,7.568383e-01,8.379361e-02,3.244291e-01,1.280367e+00
NaN,NaN,1.536778e+00,742,2.806190e-01,9.267405e-01,9.208373e-02,3.537514e-01,1.578443e+00
3.054080e-01,688,1.615250e+00,743,2.788039e-01,1.011114e+00,9.460661e-02,3.615114e-01,1.743113e+00
3.054661e-01,688,1.639271e+00,744,2.807441e-01,1.058905e+00,9.516715e-02,3.621773e-01,1.851263e+00
NaN,NaN,1.577490e+00,741,3.694857e-01,9.082060e-01,1.005523e-01,3.893149e-01,1.536440e+00
NaN,NaN,1.844133e+00,742,3.367428e-01,1.112089e+00,1.105005e-01,4.245017e-01,1.894131e+00
3.664896e-01,688,1.938300e+00,743,3.345647e-01,1.213337e+00,1.135279e-01,4.338137e-01,2.091735e+00
3.665593e-01,688,1.967125e+00,744,3.368930e-01,1.270685e+00,1.142006e-01,4.346128e-01,2.221516e+00
NaN,NaN,1.840405e+00,741,4.310666e-01,1.059574e+00,1.173111e-01,4.542007e-01,1.792514e+00
NaN,NaN,2.151489e+00,742,3.928666e-01,1.297437e+00,1.289172e-01,4.952520e-01,2.209820e+00
4.275712e-01,688,2.261350e+00,743,3.903255e-01,1.415560e+00,1.324493e-01,5.061160e-01,2.440358e+00
4.276526e-01,688,2.294979e+00,744,3.930418e-01,1.482466e+00,1.332340e-01,5.070483e-01,2.591768e+00
NaN,NaN,2.103320e+00,741,4.926476e-01,1.210941e+00,1.340698e-01,5.190866e-01,2.048587e+00
NaN,NaN,2.458844e+00,742,4.489904e-01,1.482785e+00,1.473340e-01,5.660022e-01,2.525508e+00
4.886528e-01,688,2.584400e+00,743,4.460863e-01,1.617783e+00,1.513706e-01,5.784183e-01,2.788981e+00
4.887458e-01,688,2.622833e+00,744,4.491906e-01,1.694247e+00,1.522674e-01,5.794837e-01,2.962021e+00
NaN,NaN,2.366236e+00,741,5.542285e-01,1.362309e+00,1.508285e-01,5.839724e-01,2.304661e+00
NaN,NaN,2.766200e+00,742,5.051142e-01,1.668133e+00,1.657507e-01,6.367525e-01,2.841197e+00
5.497344e-01,688,2.907450e+00,743,5.018471e-01,1.820006e+00,1.702919e-01,6.507205e-01,3.137603e+00
5.498390e-01,688,2.950687e+00,744,5.053394e-01,1.906028e+00,1.713009e-01,6.519192e-01,3.332273e+00
NaN,NaN,2.629151e+00,741,6.158095e-01,1.513677e+00,1.675872e-01,6.488582e-01,2.560734e+00
NaN,NaN,3.073555e+00,742,5.612380e-01,1.853481e+00,1.841675e-01,7.075028e-01,3.156886e+00
6.108160e-01,688,3.230500e+00,743,5.576079e-01,2.022229e+00,1.892132e-01,7.230228e-01,3.486226e+00
6.109322e-01,688,3.278541e+00,744,5.614883e-01,2.117809e+00,1.903343e-01,7.243547e-01,3.702526e+00
NaN,NaN,2.892066e+00,741,6.773904e-01,1.665044e+00,1.843459e-01,7.137440e-01,2.816807e+00
NaN,NaN,3.380911e+00,742,6.173618e-01,2.038829e+00,2.025842e-01,7.782531e-01,3.472574e+00
6.718976e-01,688,3.553550e+00,743,6.133687e-01,2.224452e+00,2.081346e-01,7.953251e-01,3.834848e+00
6.720255e-01,688,3.606395e+00,744,6.176371e-01,2.329590e+00,2.093677e-01,7.967901e-01,4.072778e+00
NaN,NaN,1.687226e+00,742,3.308016e-01,9.920762e-01,1.038313e-01,3.701986e-01,1.625169e+00
NaN,NaN,1.894772e+00,743,3.030563e-01,1.179820e+00,1.109046e-01,3.942897e-01,1.957686e+00
3.309670e-01,688,1.950582e+00,744,3.031491e-01,1.269252e+00,1.125666e-01,3.988278e-01,2.147195e+00
3.326949e-01,688,1.951395e+00,745,3.064141e-01,1.315979e+00,1.123927e-01,3.970101e-01,2.273763e+00
NaN,NaN,2.024671e+00,742,3.969619e-01,1.190491e+00,1.245976e-01,4.442384e-01,1.950202e+00
NaN,NaN,2.273726e+00,743,3.636676e-01,1.415784e+00,1.330855e-01,4.731476e-01,2.349223e+00
3.971605e-01,688,2.340699e+00,744,3.637789e-01,1.523102e+00,1.350799e-01,4.785934e-01,2.576634e+00
3.992339e-01,688,2.341674e+00,745,3.676969e-01,1.579175e+00,1.348713e-01,4.764121e-01,2.728515e+00
NaN,NaN,2.362117e+00,742,4.631223e-01,1.388907e+00,1.453639e-01,5.182781e-01,2.275236e+00
NaN,NaN,2.652680e+00,743,4.242789e-01,1.651748e+00,1.552664e-01,5.520055e-01,2.740761e+00
4.633539e-01,688,2.730815e+00,744,4.244087e-01,1.776952e+00,1.575932e-01,5.583590e-01,3.006073e+00
4.657729e-01,688,2.731953e+00,745,4.289797e-01,1.842371e+00,1.573498e-01,5.558142e-01,3.183268e+00
NaN,NaN,2.699562e+00,742,5.292826e-01,1.587322e+00,1.661301e-01,5.923178e-01,2.600270e+00
NaN,NaN,3.031635e+00,743,4.848902e-01,1.887712e+00,1.774474e-01,6.308635e-01,3.132298e+00
5.295473e-01,688,3.120931e+00,744,4.850385e-01,2.030803e+00,1.801065e-01,6.381246e-01,3.435512e+00
5.323119e-01,688,3.122232e+00,745,4.902625e-01,2.105567e+00,1.798284e-01,6.352162e-01,3.638020e+00
NaN,NaN,3.037007e+00,742,5.954429e-01,1.785737e+00,1.868964e-01,6.663575e-01,2.925303e+00
NaN,NaN,3.410589e+00,743,5.455014e-01,2.123676e+00,1.996283e-01,7.097214e-01,3.523835e+00
5.957407e-01,688,3.511048e+00,744,5.456683e-01,2.284653e+00,2.026198e-01,7.178901e-01,3.864951e+00
5.988509e-01,688,3.512511e+00,745,5.515453e-01,2.368763e+00,2.023069e-01,7.146182e-01,4.092773e+00
NaN,NaN,3.374452e+00,742,6.616032e-01,1.984152e+00,2.076627e-01,7.403973e-01,3.250337e+00
NaN,NaN,3.789543e+00,743,6.061127e-01,2.359640e+00,2.218092e-01,7.885793e-01,3.915372e+00
6.619341e-01,688,3.901164e+00,744,6.062982e-01,2.538503e+00,2.251331e-01,7.976557e-01,4.294391e+00
6.653899e-01,688,3.902790e+00,745,6.128281e-01,2.631959e+00,2.247855e-01,7.940202e-01,4.547525e+00
NaN,NaN,3.711897e+00,742,7.277636e-01,2.182568e+00,2.284289e-01,8.144370e-01,3.575371e+00
NaN,NaN,4.168498e+00,743,6.667240e-01,2.595604e+00,2.439901e-01,8.674373e-01,4.306909e+00
7.281275e-01,688,4.291281e+00,744,6.669280e-01,2.792354e+00,2.476464e-01,8.774213e-01,4.723830e+00
7.319289e-01,688,4.293069e+00,745,6.741109e-01,2.895155e+00,2.472640e-01,8.734223e-01,5.002278e+00
NaN,NaN,1.807343e+00,742,3.390081e-01,1.073879e+00,1.101863e-01,3.802820e-01,1.733597e+00
NaN,NaN,1.994534e+00,743,3.106811e-01,1.260495e+00,1.164035e-01,4.017227e-01,2.066783e+00
