simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
1,5,0,0,1.957902e+02,8.897851e+01,1.060644e+02,1.527147e+01,2.099292e+01,1.747031e+02,6.370622e+01,4.954060e+01,6.114608e+01,2.704657e+01,3.704933e+02,1.526847e+02,1.556050e+02
2,5,0,0,2.044211e+02,9.298044e+01,1.106100e+02,1.595380e+01,2.103316e+01,1.715822e+02,6.276058e+01,4.843632e+01,6.005379e+01,2.687851e+01,3.760033e+02,1.557410e+02,1.590463e+02
3,5,0,0,2.083775e+02,9.469605e+01,1.128095e+02,1.624142e+01,2.105256e+01,1.701313e+02,6.232220e+01,4.792171e+01,5.954596e+01,2.680017e+01,3.785088e+02,1.570182e+02,1.607312e+02
4,5,0,0,2.107463e+02,9.570546e+01,1.141436e+02,1.641024e+01,2.106431e+01,1.692575e+02,6.205874e+01,4.761137e+01,5.924014e+01,2.675298e+01,3.800039e+02,1.577642e+02,1.617549e+02
5,5,0,0,1.957902e+02,8.897851e+01,1.060644e+02,1.527147e+01,2.099292e+01,1.747031e+02,6.370622e+01,4.954060e+01,6.114608e+01,2.704657e+01,3.704933e+02,1.526847e+02,1.556050e+02
6,5,0,0,2.044211e+02,9.298044e+01,1.106100e+02,1.595380e+01,2.103316e+01,1.715822e+02,6.276058e+01,4.843632e+01,6.005379e+01,2.687851e+01,3.760033e+02,1.557410e+02,1.590463e+02
7,5,0,0,2.083775e+02,9.469605e+01,1.128095e+02,1.624142e+01,2.105256e+01,1.701313e+02,6.232220e+01,4.792171e+01,5.954596e+01,2.680017e+01,3.785088e+02,1.570182e+02,1.607312e+02
8,5,0,0,2.107463e+02,9.570546e+01,1.141436e+02,1.641024e+01,2.106431e+01,1.692575e+02,6.205874e+01,4.761137e+01,5.924014e+01,2.675298e+01,3.800039e+02,1.577642e+02,1.617549e+02
9,5,0,0,1.957902e+02,8.897851e+01,1.060644e+02,1.527147e+01,2.099292e+01,1.747031e+02,6.370622e+01,4.954060e+01,6.114608e+01,2.704657e+01,3.704933e+02,1.526847e+02,1.556050e+02
