n_pars,Cab,fqe,LAI,tts
#
4,20,1.000000e-02,2,22
4,40,1.000000e-02,2,22
4,60,1.000000e-02,2,22
4,80,1.000000e-02,2,22
4,20,1.200000e-02,2,22
4,40,1.200000e-02,2,22
4,60,1.200000e-02,2,22
4,80,1.200000e-02,2,22
4,20,1.400000e-02,2,22
4,40,1.400000e-02,2,22
4,60,1.400000e-02,2,22
4,80,1.400000e-02,2,22
4,20,1.600000e-02,2,22
4,40,1.600000e-02,2,22
4,60,1.600000e-02,2,22
4,80,1.600000e-02,2,22
4,20,1.800000e-02,2,22
4,40,1.800000e-02,2,22
4,60,1.800000e-02,2,22
4,80,1.800000e-02,2,22
4,20,2.000000e-02,2,22
4,40,2.000000e-02,2,22
4,60,2.000000e-02,2,22
4,80,2.000000e-02,2,22
4,20,2.200000e-02,2,22
4,40,2.200000e-02,2,22
4,60,2.200000e-02,2,22
4,80,2.200000e-02,2,22
4,20,1.000000e-02,4,22
4,40,1.000000e-02,4,22
4,60,1.000000e-02,4,22
4,80,1.000000e-02,4,22
4,20,1.200000e-02,4,22
4,40,1.200000e-02,4,22
4,60,1.200000e-02,4,22
4,80,1.200000e-02,4,22
4,20,1.400000e-02,4,22
4,40,1.400000e-02,4,22
4,60,1.400000e-02,4,22
4,80,1.400000e-02,4,22
4,20,1.600000e-02,4,22
4,40,1.600000e-02,4,22
4,60,1.600000e-02,4,22
4,80,1.600000e-02,4,22
4,20,1.800000e-02,4,22
4,40,1.800000e-02,4,22
4,60,1.800000e-02,4,22
4,80,1.800000e-02,4,22
4,20,2.000000e-02,4,22
4,40,2.000000e-02,4,22
4,60,2.000000e-02,4,22
4,80,2.000000e-02,4,22
4,20,2.200000e-02,4,22
4,40,2.200000e-02,4,22
4,60,2.200000e-02,4,22
4,80,2.200000e-02,4,22
4,20,1.000000e-02,6,22
4,40,1.000000e-02,6,22
4,60,1.000000e-02,6,22
4,80,1.000000e-02,6,22
4,20,1.200000e-02,6,22
