simulation_number,year,DoY,ShortIn,LongIn,HemisOutShort,HemisOutLong,Lo,Lot,Lote
#,,,W m-2,W m-2,W m-2,W m-2,W m-2 sr-1,W m-2 sr-1,W m-2 sr-1
1,0,0,600,300,1.131537e+02,4.275237e+02,3.352816e+01,5.867255e-01,1.358682e+02
2,0,0,600,300,1.066731e+02,4.277286e+02,3.194844e+01,5.867264e-01,1.358175e+02
3,0,0,600,300,1.037005e+02,4.278310e+02,3.123007e+01,5.867268e-01,1.357951e+02
4,0,0,600,300,1.019301e+02,4.278933e+02,3.080319e+01,5.867270e-01,1.357817e+02
5,0,0,600,300,1.131537e+02,4.275237e+02,3.352816e+01,5.867255e-01,1.358682e+02
6,0,0,600,300,1.066731e+02,4.277286e+02,3.194844e+01,5.867264e-01,1.358175e+02
7,0,0,600,300,1.037005e+02,4.278310e+02,3.123007e+01,5.867268e-01,1.357951e+02
8,0,0,600,300,1.019301e+02,4.278933e+02,3.080319e+01,5.867270e-01,1.357817e+02
9,0,0,600,300,1.131537e+02,4.275237e+02,3.352816e+01,5.867255e-01,1.358682e+02
10,0,0,600,300,1.066731e+02,4.277286e+02,3.194844e+01,5.867264e-01,1.358175e+02
11,0,0,600,300,1.037005e+02,4.278310e+02,3.123007e+01,5.867268e-01,1.357951e+02
12,0,0,600,300,1.019301e+02,4.278933e+02,3.080319e+01,5.867270e-01,1.357817e+02
13,0,0,600,300,1.131537e+02,4.275237e+02,3.352816e+01,5.867255e-01,1.358682e+02
14,0,0,600,300,1.066731e+02,4.277286e+02,3.194844e+01,5.867264e-01,1.358175e+02
15,0,0,600,300,1.037005e+02,4.278310e+02,3.123007e+01,5.867268e-01,1.357951e+02
16,0,0,600,300,1.019301e+02,4.278933e+02,3.080319e+01,5.867270e-01,1.357817e+02
17,0,0,600,300,1.131537e+02,4.275237e+02,3.352816e+01,5.867255e-01,1.358682e+02
18,0,0,600,300,1.066731e+02,4.277286e+02,3.194844e+01,5.867264e-01,1.358175e+02
19,0,0,600,300,1.037005e+02,4.278310e+02,3.123007e+01,5.867268e-01,1.357951e+02
20,0,0,600,300,1.019301e+02,4.278933e+02,3.080319e+01,5.867270e-01,1.357817e+02
21,0,0,600,300,1.131537e+02,4.275237e+02,3.352816e+01,5.867255e-01,1.358682e+02
22,0,0,600,300,1.066731e+02,4.277286e+02,3.194844e+01,5.867264e-01,1.358175e+02
23,0,0,600,300,1.037005e+02,4.278310e+02,3.123007e+01,5.867268e-01,1.357951e+02
24,0,0,600,300,1.019301e+02,4.278933e+02,3.080319e+01,5.867270e-01,1.357817e+02
25,0,0,600,300,1.131537e+02,4.275237e+02,3.352816e+01,5.867255e-01,1.358682e+02
26,0,0,600,300,1.066731e+02,4.277286e+02,3.194844e+01,5.867264e-01,1.358175e+02
27,0,0,600,300,1.037005e+02,4.278310e+02,3.123007e+01,5.867268e-01,1.357951e+02
28,0,0,600,300,1.019301e+02,4.278933e+02,3.080319e+01,5.867270e-01,1.357817e+02
29,0,0,600,300,1.186644e+02,4.253470e+02,3.468212e+01,3.378702e-01,1.358984e+02
30,0,0,600,300,1.117557e+02,4.257723e+02,3.285540e+01,3.378706e-01,1.359348e+02
31,0,0,600,300,1.085654e+02,4.259831e+02,3.201834e+01,3.378708e-01,1.359538e+02
32,0,0,600,300,1.066492e+02,4.261105e+02,3.151571e+01,3.378709e-01,1.359645e+02
33,0,0,600,300,1.186644e+02,4.253470e+02,3.468212e+01,3.378702e-01,1.358984e+02
34,0,0,600,300,1.117557e+02,4.257723e+02,3.285540e+01,3.378706e-01,1.359348e+02
35,0,0,600,300,1.085654e+02,4.259831e+02,3.201834e+01,3.378708e-01,1.359538e+02
36,0,0,600,300,1.066492e+02,4.261105e+02,3.151571e+01,3.378709e-01,1.359645e+02
37,0,0,600,300,1.186644e+02,4.253470e+02,3.468212e+01,3.378702e-01,1.358984e+02
38,0,0,600,300,1.117557e+02,4.257723e+02,3.285540e+01,3.378706e-01,1.359348e+02
39,0,0,600,300,1.085654e+02,4.259831e+02,3.201834e+01,3.378708e-01,1.359538e+02
40,0,0,600,300,1.066492e+02,4.261105e+02,3.151571e+01,3.378709e-01,1.359645e+02
41,0,0,600,300,1.186644e+02,4.253470e+02,3.468212e+01,3.378702e-01,1.358984e+02
42,0,0,600,300,1.117557e+02,4.257723e+02,3.285540e+01,3.378706e-01,1.359348e+02
43,0,0,600,300,1.085654e+02,4.259831e+02,3.201834e+01,3.378708e-01,1.359538e+02
44,0,0,600,300,1.066492e+02,4.261105e+02,3.151571e+01,3.378709e-01,1.359645e+02
45,0,0,600,300,1.186644e+02,4.253470e+02,3.468212e+01,3.378702e-01,1.358984e+02
46,0,0,600,300,1.117557e+02,4.257723e+02,3.285540e+01,3.378706e-01,1.359348e+02
47,0,0,600,300,1.085654e+02,4.259831e+02,3.201834e+01,3.378708e-01,1.359538e+02
48,0,0,600,300,1.066492e+02,4.261105e+02,3.151571e+01,3.378709e-01,1.359645e+02
49,0,0,600,300,1.186644e+02,4.253470e+02,3.468212e+01,3.378702e-01,1.358984e+02
50,0,0,600,300,1.117557e+02,4.257723e+02,3.285540e+01,3.378706e-01,1.359348e+02
51,0,0,600,300,1.085654e+02,4.259831e+02,3.201834e+01,3.378708e-01,1.359538e+02
52,0,0,600,300,1.066492e+02,4.261105e+02,3.151571e+01,3.378709e-01,1.359645e+02
53,0,0,600,300,1.186644e+02,4.253470e+02,3.468212e+01,3.378702e-01,1.358984e+02
54,0,0,600,300,1.117557e+02,4.257723e+02,3.285540e+01,3.378706e-01,1.359348e+02
55,0,0,600,300,1.085654e+02,4.259831e+02,3.201834e+01,3.378708e-01,1.359538e+02
56,0,0,600,300,1.066492e+02,4.261105e+02,3.151571e+01,3.378709e-01,1.359645e+02
57,0,0,600,300,1.210420e+02,4.265079e+02,3.600683e+01,3.253627e-01,1.361914e+02
58,0,0,600,300,1.140361e+02,4.270490e+02,3.409472e+01,3.253630e-01,1.362866e+02
59,0,0,600,300,1.107920e+02,4.273193e+02,3.321484e+01,3.253631e-01,1.363347e+02
60,0,0,600,300,1.088395e+02,4.274830e+02,3.268498e+01,3.253632e-01,1.363632e+02
61,0,0,600,300,1.210420e+02,4.265079e+02,3.600683e+01,3.253627e-01,1.361914e+02
62,0,0,600,300,1.140361e+02,4.270490e+02,3.409472e+01,3.253630e-01,1.362866e+02
63,0,0,600,300,1.107920e+02,4.273193e+02,3.321484e+01,3.253631e-01,1.363347e+02
64,0,0,600,300,1.088395e+02,4.274830e+02,3.268498e+01,3.253632e-01,1.363632e+02
65,0,0,600,300,1.210420e+02,4.265079e+02,3.600683e+01,3.253627e-01,1.361914e+02
66,0,0,600,300,1.140361e+02,4.270490e+02,3.409472e+01,3.253630e-01,1.362866e+02
67,0,0,600,300,1.107920e+02,4.273193e+02,3.321484e+01,3.253631e-01,1.363347e+02
68,0,0,600,300,1.088395e+02,4.274830e+02,3.268498e+01,3.253632e-01,1.363632e+02
69,0,0,600,300,1.210420e+02,4.265079e+02,3.600683e+01,3.253627e-01,1.361914e+02
70,0,0,600,300,1.140361e+02,4.270490e+02,3.409472e+01,3.253630e-01,1.362866e+02
71,0,0,600,300,1.107920e+02,4.273193e+02,3.321484e+01,3.253631e-01,1.363347e+02
72,0,0,600,300,1.088395e+02,4.274830e+02,3.268498e+01,3.253632e-01,1.363632e+02
73,0,0,600,300,1.210420e+02,4.265079e+02,3.600683e+01,3.253627e-01,1.361914e+02
74,0,0,600,300,1.140361e+02,4.270490e+02,3.409472e+01,3.253630e-01,1.362866e+02
75,0,0,600,300,1.107920e+02,4.273193e+02,3.321484e+01,3.253631e-01,1.363347e+02
76,0,0,600,300,1.088395e+02,4.274830e+02,3.268498e+01,3.253632e-01,1.363632e+02
77,0,0,600,300,1.210420e+02,4.265079e+02,3.600683e+01,3.253627e-01,1.361914e+02
78,0,0,600,300,1.140361e+02,4.270490e+02,3.409472e+01,3.253630e-01,1.362866e+02
79,0,0,600,300,1.107920e+02,4.273193e+02,3.321484e+01,3.253631e-01,1.363347e+02
80,0,0,600,300,1.088395e+02,4.274830e+02,3.268498e+01,3.253632e-01,1.363632e+02
81,0,0,600,300,1.210420e+02,4.265079e+02,3.600683e+01,3.253627e-01,1.361914e+02
82,0,0,600,300,1.140361e+02,4.270490e+02,3.409472e+01,3.253630e-01,1.362866e+02
83,0,0,600,300,1.107920e+02,4.273193e+02,3.321484e+01,3.253631e-01,1.363347e+02
84,0,0,600,300,1.088395e+02,4.274830e+02,3.268498e+01,3.253632e-01,1.363632e+02
85,0,0,600,300,1.217714e+02,4.281997e+02,3.680304e+01,3.248384e-01,1.364811e+02
