#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
7.548595e+00,4.979803e+01,500,3.075333e-01
7.531709e+00,4.972345e+01,500,3.081107e-01
7.523544e+00,4.968738e+01,500,3.083908e-01
7.518623e+00,4.966562e+01,500,3.085599e-01
7.548595e+00,4.979803e+01,500,3.075333e-01
7.531709e+00,4.972345e+01,500,3.081107e-01
7.523544e+00,4.968738e+01,500,3.083908e-01
7.518623e+00,4.966562e+01,500,3.085599e-01
7.548595e+00,4.979803e+01,500,3.075333e-01
7.531709e+00,4.972345e+01,500,3.081107e-01
7.523544e+00,4.968738e+01,500,3.083908e-01
7.518623e+00,4.966562e+01,500,3.085599e-01
7.548595e+00,4.979803e+01,500,3.075333e-01
7.531709e+00,4.972345e+01,500,3.081107e-01
7.523544e+00,4.968738e+01,500,3.083908e-01
7.518623e+00,4.966562e+01,500,3.085599e-01
7.548595e+00,4.979803e+01,500,3.075333e-01
7.531709e+00,4.972345e+01,500,3.081107e-01
7.523544e+00,4.968738e+01,500,3.083908e-01
7.518623e+00,4.966562e+01,500,3.085599e-01
7.548595e+00,4.979803e+01,500,3.075333e-01
7.531709e+00,4.972345e+01,500,3.081107e-01
7.523544e+00,4.968738e+01,500,3.083908e-01
7.518623e+00,4.966562e+01,500,3.085599e-01
7.548595e+00,4.979803e+01,500,3.075333e-01
7.531709e+00,4.972345e+01,500,3.081107e-01
7.523544e+00,4.968738e+01,500,3.083908e-01
7.518623e+00,4.966562e+01,500,3.085599e-01
8.185938e+00,1.476424e+02,500,2.859643e-01
8.176159e+00,1.475037e+02,500,2.862526e-01
8.171480e+00,1.474374e+02,500,2.863908e-01
8.169025e+00,1.474026e+02,500,2.864634e-01
8.185938e+00,1.476424e+02,500,2.859643e-01
8.176159e+00,1.475037e+02,500,2.862526e-01
8.171480e+00,1.474374e+02,500,2.863908e-01
8.169025e+00,1.474026e+02,500,2.864634e-01
8.185938e+00,1.476424e+02,500,2.859643e-01
8.176159e+00,1.475037e+02,500,2.862526e-01
8.171480e+00,1.474374e+02,500,2.863908e-01
8.169025e+00,1.474026e+02,500,2.864634e-01
8.185938e+00,1.476424e+02,500,2.859643e-01
8.176159e+00,1.475037e+02,500,2.862526e-01
8.171480e+00,1.474374e+02,500,2.863908e-01
8.169025e+00,1.474026e+02,500,2.864634e-01
8.185938e+00,1.476424e+02,500,2.859643e-01
8.176159e+00,1.475037e+02,500,2.862526e-01
8.171480e+00,1.474374e+02,500,2.863908e-01
8.169025e+00,1.474026e+02,500,2.864634e-01
8.185938e+00,1.476424e+02,500,2.859643e-01
8.176159e+00,1.475037e+02,500,2.862526e-01
8.171480e+00,1.474374e+02,500,2.863908e-01
8.169025e+00,1.474026e+02,500,2.864634e-01
8.185938e+00,1.476424e+02,500,2.859643e-01
8.176159e+00,1.475037e+02,500,2.862526e-01
8.171480e+00,1.474374e+02,500,2.863908e-01
8.169025e+00,1.474026e+02,500,2.864634e-01
8.513441e+00,5.936396e+02,500,2.759128e-01
8.507518e+00,5.932954e+02,500,2.760756e-01
8.504562e+00,5.931237e+02,500,2.761569e-01
8.503255e+00,5.930476e+02,500,2.761930e-01
8.513441e+00,5.936396e+02,500,2.759128e-01
8.507518e+00,5.932954e+02,500,2.760756e-01
8.504562e+00,5.931237e+02,500,2.761569e-01
8.503255e+00,5.930476e+02,500,2.761930e-01
8.513441e+00,5.936396e+02,500,2.759128e-01
8.507518e+00,5.932954e+02,500,2.760756e-01
8.504562e+00,5.931237e+02,500,2.761569e-01
8.503255e+00,5.930476e+02,500,2.761930e-01
8.513441e+00,5.936396e+02,500,2.759128e-01
8.507518e+00,5.932954e+02,500,2.760756e-01
8.504562e+00,5.931237e+02,500,2.761569e-01
8.503255e+00,5.930476e+02,500,2.761930e-01
8.513441e+00,5.936396e+02,500,2.759128e-01
8.507518e+00,5.932954e+02,500,2.760756e-01
8.504562e+00,5.931237e+02,500,2.761569e-01
8.503255e+00,5.930476e+02,500,2.761930e-01
8.513441e+00,5.936396e+02,500,2.759128e-01
8.507518e+00,5.932954e+02,500,2.760756e-01
8.504562e+00,5.931237e+02,500,2.761569e-01
8.503255e+00,5.930476e+02,500,2.761930e-01
8.513441e+00,5.936396e+02,500,2.759128e-01
8.507518e+00,5.932954e+02,500,2.760756e-01
8.504562e+00,5.931237e+02,500,2.761569e-01
8.503255e+00,5.930476e+02,500,2.761930e-01
8.818699e+00,2.793086e+03,500,2.672845e-01
8.817840e+00,2.792856e+03,500,2.673066e-01
8.817359e+00,2.792727e+03,500,2.673190e-01
8.817448e+00,2.792751e+03,500,2.673167e-01
8.818699e+00,2.793086e+03,500,2.672845e-01
8.817840e+00,2.792856e+03,500,2.673066e-01
