simulation_number,year,DoY,Photosynthesis,Electron_transport,NPQ_energy,NPQ_photon,canopy_level_FQE,LST,emis,GPP
#,,,umol CO2 m-2 s-1,umol m-2 s-1,W m-2,umol m-2 s-1,umol photons (umol photons)-1,K,,umol CO2 m-2 s-1
1,0,0,1.527147e+01,1.161636e+02,3.034808e+01,1.493835e+02,1.232930e-02,2.967677e+02,9.747420e-01,1.640406e+01
2,0,0,1.595380e+01,1.212434e+02,4.129554e+01,2.002730e+02,1.239814e-02,2.967390e+02,9.747561e-01,1.708912e+01
3,0,0,1.624142e+01,1.233974e+02,4.717330e+01,2.272091e+02,1.245632e-02,2.967263e+02,9.747628e-01,1.737807e+01
4,0,0,1.641024e+01,1.246631e+02,5.098937e+01,2.446450e+02,1.249534e-02,2.967188e+02,9.747668e-01,1.754769e+01
5,0,0,1.527147e+01,1.161636e+02,3.034808e+01,1.493835e+02,1.479517e-02,2.967677e+02,9.747420e-01,1.640406e+01
6,0,0,1.595380e+01,1.212434e+02,4.129554e+01,2.002730e+02,1.487776e-02,2.967390e+02,9.747561e-01,1.708912e+01
7,0,0,1.624142e+01,1.233974e+02,4.717330e+01,2.272091e+02,1.494759e-02,2.967263e+02,9.747628e-01,1.737807e+01
8,0,0,1.641024e+01,1.246631e+02,5.098937e+01,2.446450e+02,1.499441e-02,2.967188e+02,9.747668e-01,1.754769e+01
9,0,0,1.527147e+01,1.161636e+02,3.034808e+01,1.493835e+02,1.726103e-02,2.967677e+02,9.747420e-01,1.640406e+01
10,0,0,1.595380e+01,1.212434e+02,4.129554e+01,2.002730e+02,1.735739e-02,2.967390e+02,9.747561e-01,1.708912e+01
11,0,0,1.624142e+01,1.233974e+02,4.717330e+01,2.272091e+02,1.743885e-02,2.967263e+02,9.747628e-01,1.737807e+01
12,0,0,1.641024e+01,1.246631e+02,5.098937e+01,2.446450e+02,1.749348e-02,2.967188e+02,9.747668e-01,1.754769e+01
13,0,0,1.527147e+01,1.161636e+02,3.034808e+01,1.493835e+02,1.972689e-02,2.967677e+02,9.747420e-01,1.640406e+01
14,0,0,1.595380e+01,1.212434e+02,4.129554e+01,2.002730e+02,1.983702e-02,2.967390e+02,9.747561e-01,1.708912e+01
15,0,0,1.624142e+01,1.233974e+02,4.717330e+01,2.272091e+02,1.993011e-02,2.967263e+02,9.747628e-01,1.737807e+01
16,0,0,1.641024e+01,1.246631e+02,5.098937e+01,2.446450e+02,1.999255e-02,2.967188e+02,9.747668e-01,1.754769e+01
17,0,0,1.527147e+01,1.161636e+02,3.034808e+01,1.493835e+02,2.219275e-02,2.967677e+02,9.747420e-01,1.640406e+01
18,0,0,1.595380e+01,1.212434e+02,4.129554e+01,2.002730e+02,2.231665e-02,2.967390e+02,9.747561e-01,1.708912e+01
19,0,0,1.624142e+01,1.233974e+02,4.717330e+01,2.272091e+02,2.242138e-02,2.967263e+02,9.747628e-01,1.737807e+01
20,0,0,1.641024e+01,1.246631e+02,5.098937e+01,2.446450e+02,2.249161e-02,2.967188e+02,9.747668e-01,1.754769e+01
21,0,0,1.527147e+01,1.161636e+02,3.034808e+01,1.493835e+02,2.465861e-02,2.967677e+02,9.747420e-01,1.640406e+01
22,0,0,1.595380e+01,1.212434e+02,4.129554e+01,2.002730e+02,2.479627e-02,2.967390e+02,9.747561e-01,1.708912e+01
23,0,0,1.624142e+01,1.233974e+02,4.717330e+01,2.272091e+02,2.491264e-02,2.967263e+02,9.747628e-01,1.737807e+01
24,0,0,1.641024e+01,1.246631e+02,5.098937e+01,2.446450e+02,2.499068e-02,2.967188e+02,9.747668e-01,1.754769e+01
25,0,0,1.527147e+01,1.161636e+02,3.034808e+01,1.493835e+02,2.712447e-02,2.967677e+02,9.747420e-01,1.640406e+01
26,0,0,1.595380e+01,1.212434e+02,4.129554e+01,2.002730e+02,2.727590e-02,2.967390e+02,9.747561e-01,1.708912e+01
27,0,0,1.624142e+01,1.233974e+02,4.717330e+01,2.272091e+02,2.740391e-02,2.967263e+02,9.747628e-01,1.737807e+01
28,0,0,1.641024e+01,1.246631e+02,5.098937e+01,2.446450e+02,2.748975e-02,2.967188e+02,9.747668e-01,1.754769e+01
29,0,0,2.191753e+01,1.728184e+02,3.356311e+01,1.654901e+02,1.226181e-02,2.963004e+02,9.793329e-01,2.419829e+01
30,0,0,2.274641e+01,1.792012e+02,4.654272e+01,2.261703e+02,1.227016e-02,2.963201e+02,9.793353e-01,2.502987e+01
31,0,0,2.311973e+01,1.820841e+02,5.343674e+01,2.579155e+02,1.232338e-02,2.963303e+02,9.793364e-01,2.540450e+01
32,0,0,2.336100e+01,1.839337e+02,5.788176e+01,2.783068e+02,1.236598e-02,2.963360e+02,9.793371e-01,2.564652e+01
33,0,0,2.191753e+01,1.728184e+02,3.356311e+01,1.654901e+02,1.471417e-02,2.963004e+02,9.793329e-01,2.419829e+01
34,0,0,2.274641e+01,1.792012e+02,4.654272e+01,2.261703e+02,1.472420e-02,2.963201e+02,9.793353e-01,2.502987e+01
35,0,0,2.311973e+01,1.820841e+02,5.343674e+01,2.579155e+02,1.478805e-02,2.963303e+02,9.793364e-01,2.540450e+01
